exp_no,dataset,fold0_loss,fold1_loss,fold0_score,fold1_score,note
001,256_5,0.2748,0.1303,0.8012,0.8824,ns=0.05 epoch=40
002,256_5,0.2407,0.1289,0.8306,0.8901,ns=0.10 epoch=40 best
003,256_5,0.2854,0.1374,0.8085,0.8841,ns=0.20 epoch=20
004,256_5,0.3034,0.1349,0.7950,0.8798,ns=0.50 epoch=20
005,256_5,0.2786,0.1369,0.7893,0.8836,ns=0.10 epoch=20
006,512_5,0.2954,0.1383,0.7717,0.8812,exp005
007,256_1,0.2531,0.1424,0.8113,0.8955,exp005
013,256_1,0.2459,,0.8265,,ns=0.20 epoch=20 baseline epoch20
009,,
010,,
